unit_id,Ofcom product,Region,Country,Urban Rural,Distance from Exchange band),Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
2503,Sky 76,Northern Ireland,Northern Ireland,Urban,0 to 100m,FTTC,B,72.81889137,69.1435896,74.6439704,73.74346618,73.250496,73.79754629,18.34145129,17.540804,18.6986672,18.66569156,18.579192,18.702384,0,0,25.94792087,25.573,0.19229592,0.1906,0.21476531,0.1835,19.68989545,19.29488235,0.0002,0,200.418163,209.1255714,0.1,,,,,,,,,,,1,0,0,0,736.0020233,1,0,0,0,647.6112222,,,,,,,,,,
2623,Sky 38,South West,England,Rural,0 to 100m,FTTC,B,17.19753146,12.26052867,18.662883,17.64891327,17.17007304,18.19793183,5.023493102,4.606432,5.112013666,5.02320893,4.525864,5.112952,0.0005,0.0019,16.42737291,16.14411909,0.34734274,0.32935,1.49939113,1.35745,17.46686207,17.16986364,0.0004,0.0006,433.5666739,411.8058837,0,,,,,,,,,,,0.722,0.2703,0.0077,0,2230.772383,0.7619,0.2143,0.0238,0,2944.887576,,,,,,,,,,
30625,TalkTalk 38,South West,England,Rural,0 to 100m,FTTC,B,21.55627398,20.35448943,22.09348714,21.44219526,21.24543229,21.61210229,1.656850614,1.620490857,1.679974571,1.652220462,1.455712,1.792504,0,0,9.18442247,8.91134747,0.88482109,0.92881481,0.825377,0.95930769,8.94225483,9.50596,0.0008,0.0001,1489.181615,1395.826278,1.3929,0.0716,0.7493,0.1791,0,1247.823385,0.1071,0.7143,0.1786,0,1260.190429,0.994,0.006,0,0,1868.012499,1,0,0,0,1806.047709,0,0.9653,0.0347,0,2931.402787,0,1,0,0,2537.169295
33800,BT 76,Scotland,Scotland,Rural,0 to 100m,FTTC,A,69.77650849,63.72164914,70.97355029,68.73481826,66.686138,68.86936571,17.86540815,17.554978,17.90039971,17.83471371,16.433456,17.9012,0,0,17.36350286,17.49853344,0.19165951,0.19196154,0.24139385,0.44466667,16.21828919,16.35809259,0.0001,0.0005,155.7530153,154.8533636,0.0357,0.0758,0.7455,0.1788,0,1040.451197,0.1091,0.7091,0.1818,0,1114.252473,1,0,0,0,633.4760213,1,0,0,0,679.0585091,0,1,0,0,653.3638593,0,1,0,0,649.7673036
141342,BT 52,Scotland,Scotland,Rural,0 to 100m,FTTC,A,46.57602439,40.99336971,47.92241343,44.32900145,41.52249486,46.13786457,9.278177846,9.233074857,9.286992571,9.283403704,9.276696,9.285536,0,0,21.89816833,22.1644909,0.21167477,0.20781481,0.22623171,0.30334615,21.67340578,21.74512963,0.0001,0,213.284538,217.9302546,0.0714,0.0602,0.7711,0.1687,0,1038.026964,,,,,,1,0,0,0,824.7875,,,,,,0,1,0,0,737.4776265,,,,,
168338,BT 17,South East,England,Urban,0 to 100m,ADSL,B,13.15677539,12.41905257,13.294442,13.176312,13.12712371,13.22550029,0.701996673,0.659585143,0.722247143,0.702283774,0.638336,0.730096,0.0001,0,24.79427298,24.97489674,0.7920743,0.78221429,0.46008978,0.4545,23.65335053,23.65813208,0.0001,0,367.5899694,366.5395091,0.0714,0.0663,0.759,0.1747,0,1023.400958,0.0714,0.75,0.1786,0,1008.698893,0,1,0,0,1212.828332,0,1,0,0,1207.603804,0,1,0,0,1522.373335,0,1,0,0,1532.515737
172408,Plusnet 38,South West,England,Rural,0 to 100m,FTTC,B,35.64557235,28.60506657,37.15217086,33.84459743,30.388966,35.517084,9.194277309,8.779174,9.287621714,9.14710637,8.413752,9.299464,0.0001,0,19.13754606,19.46469261,0.41033333,0.39372,0.46574006,0.79320833,10.13001062,10.40826786,0.0001,0.0002,294.5042208,284.733434,0,0.0873,0.7319,0.1807,0,1086.940057,0.0962,0.7115,0.1923,0,1056.994577,0.997,0.003,0,0,1040.372559,0.9811,0.0189,0,0,1319.122481,0,1,0,0,1072.438757,0,1,0,0,1135.74786
249952,BT 52,Northern Ireland,Northern Ireland,Urban,0 to 100m,FTTC,B,39.97148058,34.56467743,41.14528743,38.53650741,36.79913886,39.15317086,7.047859623,6.478932,7.101507429,6.953852654,4.947792,7.160976,0,0,18.23125369,18.82268745,0.49728615,0.25337037,0.62248,1.53196296,17.79370717,18.69780769,0.0003,0.0005,188.5060167,195.5980364,0.1071,0.0863,0.7351,0.1786,0,1058.440994,0.1071,0.7143,0.1786,0,1104.903446,0.994,0.006,0,0,959.1467515,1,0,0,0,967.6671607,0,0.994,0.006,0,956.6501145,0,1,0,0,704.1496786
249994,EE 38,London,England,Urban,0 to 100m,FTTC,B,35.22155071,32.51360571,35.47966657,34.70989464,32.90366857,35.09419743,9.078635935,8.893582857,9.125092857,9.06154351,8.758112,9.144432,0.009,0.0148,7.991317,8.33252423,0.30029293,0.31071429,0.26357383,0.34852381,7.84162405,8.02310909,0.0001,0.0001,239.0769578,233.5299318,0.0714,0.0867,0.7433,0.17,0,1145.38962,0.12,0.7,0.18,0,1197.99652,0.9932,0.0068,0,0,1264.506503,0.9565,0.0435,0,0,1305.7105,0,1,0,0,2167.748801,0,1,0,0,2128.275259
397664,BT 76,East,England,Urban,0 to 100m,FTTH,B,72.45076032,65.10167714,73.63695543,71.33755793,70.379194,72.465792,20.68328596,19.96512771,20.77099114,20.67613274,18.936264,20.771656,0.0027,0.0062,6.4281281,6.48104334,0.76371293,0.76984615,0.81800946,1.01025926,5.85657121,6.00709259,0.01,0.0075,75.14003266,75.42233333,7.7143,0.1231,0.6997,0.1772,0,623.5455135,0.1429,0.6786,0.1786,0,635.4996786,0.997,0.003,0,0,466.3358512,1,0,0,0,492.0929286,0,1,0,0,572.1179212,0,1,0,0,600.9943091
