unit_id,Region,Country,Urban Rural,Distance from Exchange,Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
947590,Scotland,Scotland,Rural,0 to 100m,ADSL,A,1.066486476,0.992996387,1.080313548,1.067014321,1.011224258,1.080201806,0.371713606,0.363720774,0.373416774,0.371836685,0.343296,0.373424,0.0003,0,44.63216077,44.57913145,1.4943314,1.45193103,0.79846221,0.78268539,42.01568544,42.03937297,0.0002,0.0003,3369.353098,3353.320447,0.0323,0,0,1,0,2596.695237,0,0,1,0,2548.207194,0,0,1,0,3147.823376,0,0,1,0,3268.335133,0,0,1,0,3651.94276,0,0,1,0,3671.939436
943012,South West,England,Rural,0 to 100m,ADSL,B,2.661392734,2.060675871,2.768236387,2.632267177,2.078407484,2.749944774,0.405649165,0.372794581,0.439190194,0.40790677,0.31972,0.58184,0.002,0,31.12158541,31.36385356,0.66214167,0.67229091,0.58384583,0.64915094,21.0502398,21.2286732,0.0009,0.0014,1361.159757,1362.354608,0.2581,0,0.3289,0.6711,0,2594.736645,0,0.35,0.65,0,2614.9676,0,0.8,0.2,0,2072.545023,0,0.7391,0.2609,0,2257.954321,0,0,1,0,2299.410139,0,0,1,0,2392.625721
948300,Wales,Wales,Rural,0 to 100m,ADSL,A,2.566071438,1.104755871,4.031944,1.408494373,1.104755871,1.84591329,0.813056269,0.768735226,0.839833548,0.812671131,0.7456,0.883304,0,0,10.26712721,10.40264882,0.4676236,0.46905814,0.29677031,0.30332558,27.03585813,27.19440984,0.0002,0.0007,1332.575743,2090.531862,0.8387,0,0.4481,0.5519,0,2321.251574,0,0.0165,0.9835,0,2331.596423,0,0.4,0.6,0,2055.802057,0,0,1,0,2182.798718,0,0.0028,0.9972,0,2656.465152,0,0,1,0,2570.60271
947166,Wales,Wales,Rural,0 to 100m,ADSL,B,3.852370286,3.45704,3.92692,3.835855369,3.581516903,3.922501162,0.714934441,0.655905548,0.727336,0.712225325,0.557976,0.727808,0.0005,0.0003,34.09789324,33.96993686,0.85475884,1.08322857,0.46832476,0.53433333,32.77531511,33.12295906,0.0003,0.0001,1054.005556,1062.692946,1.5484,0,0.9412,0.0588,0,2284.031329,0,0.9643,0.0357,0,2341.163964,0,0.977,0.023,0,1811.448402,0,1,0,0,1840.215414,0,0.1977,0.8023,0,2281.12768,0,0.1429,0.8571,0,2208.892738
939972,Scotland,Scotland,Rural,0 to 100m,ADSL,B,4.70187874,4.104477935,4.938444387,4.66934873,4.197551742,4.886170838,0.971349594,0.867280774,0.989655484,0.965653434,0.754152,0.992328,0.0002,0.0005,22.70266166,22.78960102,0.40882948,0.449725,0.75322254,1.0831519,22.51294295,23.39276692,0.0004,0.0004,766.4767311,778.6283297,0.1613,0,0.957,0.043,0,1974.266387,0,0.9677,0.0323,0,1973.970516,0,0.9892,0.0108,0,2762.602134,0,1,0,0,2665.77475,0,0.9677,0.0323,0,1692.206271,0,0.9355,0.0645,0,1835.539865
942454,South East,England,Rural,0 to 100m,ADSL,A,7.537104292,5.540412387,7.819120516,7.574240854,6.229730322,7.815637678,0.842269475,0.671255742,0.859108129,0.84062589,0.284544,0.859616,0,0,29.87087203,30.0070617,6.48112226,4.55773684,0.70333333,0.65921795,30.20811715,30.37883721,0.0002,0.0002,753.9080832,757.7593204,0.0385,0.0769,0.9038,0.0192,0,2553.243025,0.0879,0.9011,0.011,0,1583.964126,0,0.9862,0.0138,0,2087.697243,0,0.9889,0.0111,0,2205.775855,0,0.9863,0.0137,0,2019.838924,0,0.9891,0.0109,0,1985.966712
940570,Scotland,Scotland,Rural,0 to 100m,FTTC,B,27.43754879,25.7284369,27.81115277,27.31255788,25.81306555,27.7531711,6.589985077,6.483605935,6.646600258,6.585589179,6.259904,7.16204,0.001,0,24.98730234,24.9214556,0.48214451,0.47473494,0.3679104,0.42318293,25.1971588,25.92523529,0.0016,0.0039,674.1524721,715.3187725,0.7097,0.1685,0.8202,0.0112,0,1216.000315,0.1724,0.8276,0,0,1321.019862,1,0,0,0,1846.465273,1,0,0,0,2016.80975,0,1,0,0,1280.616727,0,1,0,0,1409.823821
940426,South West,England,Rural,0 to 100m,FTTC,B,6.852005706,5.66120129,7.044162838,6.81812378,5.912435355,7.040301678,1.040944322,0.97324929,1.050748903,1.039382913,0.784456,1.058144,0.0001,0,11.60815412,11.44322359,0.51895989,0.5236375,0.23269429,0.26492405,10.56667729,11.24092655,0.0002,0.0002,541.5261662,539.6975449,0.0323,0.0326,0.9565,0.0109,0,1606.725913,0.0645,0.9355,0,0,1550.267548,0,1,0,0,1944.442956,0,1,0,0,1896.3667,0,0.9767,0.0233,0,1461.321992,0,0.8571,0.1429,0,1524.222565
249994,London,England,Urban,0 to 100m,FTTC,B,25.31194707,24.31335974,25.58624516,25.12585475,24.36369032,25.55352774,7.013166875,6.885296258,7.076167484,7.0085229,6.765584,7.103856,0.0002,0.0007,9.22893778,9.6974158,0.4329223,0.42312676,0.63580339,0.61588571,8.52251389,9.4461976,0.0008,0.0005,509.6144787,609.8261633,0.0645,0.1263,0.8669,0.0068,0,1075.492631,0.1409,0.8591,0,0,1071.044799,0.9894,0.0106,0,0,1913.954708,0.9786,0.0214,0,0,2086.81011,0,0.9965,0.0035,0,2561.339534,0,0.9933,0.0067,0,3141.400547
940512,Scotland,Scotland,Rural,0 to 100m,ADSL,A,11.84829629,9.0312,12.89450771,11.31932028,8.895377185,12.87321718,0.870269236,0.770573143,0.940068,0.861709314,0.660344,1.0312,0.0001,0,33.42809584,39.37792537,0.46572414,0.46541818,0.31609622,0.56894444,25.26349684,26.72800671,0.0008,0.0004,484.724127,523.2563704,1.0645,0.1375,0.8375,0.025,0,1022.773475,,,,,,0,1,0,0,1193.151012,,,,,,0,1,0,0,2216.914096,,,,,
